iloϾ;typ;czas bubble;czas counting;czas merge;czas quick;czas selection;czas shell;
99;asc;0,0142;0,0032;0,0128;0,0097;0,0134;0,0025;
100;asc;0,0139;0,0085;0,0096;0,0097;0,0134;0,0025;
1;desc;0,0009;0,0006;0,0002;0,0003;0,0002;0,0002;
2;desc;0,0014;0,0013;0,0005;0,0003;0,0003;0,0004;
3;desc;0,0011;0,0009;0,0006;0,0004;0,0004;0,0004;
4;desc;0,0014;0,001;0,0009;0,0006;0,0004;0,0004;
5;desc;0,0018;0,0013;0,0011;0,0006;0,0006;0,0005;
6;desc;0,0014;0,001;0,0009;0,0006;0,0005;0,0005;
7;desc;0,0013;0,0016;0,0066;0,0007;0,0006;0,0006;
8;desc;0,0015;0,0009;0,0011;0,0008;0,0006;0,0006;
9;desc;0,0008;0,0009;0,0011;0,0007;0,0005;0,0004;
10;desc;0,0009;0,001;0,0011;0,0007;0,0006;0,0005;
11;desc;0,0009;0,001;0,0011;0,0006;0,0006;0,0007;
12;desc;0,0011;0,0048;0,001;0,0006;0,0007;0,0007;
13;desc;0,0011;0,001;0,0013;0,0007;0,0007;0,0006;
14;desc;0,0013;0,0011;0,0015;0,0009;0,0009;0,0006;
15;desc;0,0018;0,0013;0,0019;0,0012;0,001;0,0009;
16;desc;0,0016;0,0012;0,0018;0,0009;0,0009;0,0009;
17;desc;0,0014;0,0011;0,0015;0,0009;0,001;0,0009;
18;desc;0,003;0,0019;0,0032;0,0018;0,0017;0,0013;
19;desc;0,0022;0,0039;0,0021;0,0012;0,0014;0,0011;
20;desc;0,003;0,0018;0,0024;0,0016;0,002;0,0013;
21;desc;0,0032;0,0018;0,0102;0,0013;0,0016;0,0011;
22;desc;0,0026;0,0013;0,0024;0,0015;0,0019;0,0012;
23;desc;0,0035;0,0018;0,0025;0,0016;0,0023;0,0012;
24;desc;0,0031;0,0057;0,0026;0,0019;0,0019;0,0012;
25;desc;0,0034;0,0017;0,0026;0,002;0,002;0,0014;
26;desc;0,0039;0,0019;0,0071;0,002;0,0024;0,0016;
27;desc;0,0043;0,002;0,0028;0,0021;0,0026;0,0016;
28;desc;0,0042;0,0018;0,0033;0,0025;0,0032;0,0016;
